Id,y
900,258.827716
901,47.194343
902,-63.496640
903,-10.592325
904,-25.079166
905,-17.749040
906,35.896484
907,10.151581
908,-64.155345
909,250.442133
910,110.298837
911,-71.693155
912,12.275870
913,-38.792656
914,7.071966
915,30.773449
916,-25.160184
917,-33.311554
918,44.676316
919,18.569037
920,83.121210
921,106.652095
922,70.422466
923,-4.691707
924,3.711938
925,8.043557
926,-12.993278
927,3.457284
928,-40.284274
929,-84.468140
930,62.827542
931,48.989048
932,63.065149
933,-60.279052
934,2.247907
935,27.019912
936,-38.070835
937,-9.490604
938,-15.008409
939,14.833236
940,99.133299
941,-18.526143
942,-7.469641
943,65.849392
944,6.974884
945,-31.260555
946,47.250421
947,22.367985
948,-41.824804
949,-21.893126
950,41.112787
951,1.651051
952,34.783453
953,8.782535
954,46.283833
955,-18.757988
956,45.162062
957,-9.206815
958,-63.281900
959,-8.433210
960,-27.453423
961,-19.186421
962,30.800843
963,-25.273634
964,-26.145576
965,145.132023
966,-24.197980
967,-16.729462
968,11.035065
969,4.202567
970,-56.258654
971,34.081017
972,-4.859833
973,-40.199303
974,44.709863
975,-34.306578
976,-39.912236
977,-18.547809
978,24.162237
979,-37.262575
980,68.929917
981,-99.212716
982,-47.584390
983,45.087350
984,45.916599
985,-15.517111
986,22.038982
987,-24.057001
988,36.231327
989,51.138340
990,0.686879
991,4.991813
992,-32.312227
993,49.136693
994,-30.988156
995,-14.671039
996,52.458365
997,-12.115574
998,9.029302
999,2.263153
1000,3.886494
1001,56.760080
1002,-46.434799
1003,7.032170
1004,-13.233584
1005,15.344575
1006,6.975212
1007,26.456466
1008,-80.818227
1009,-0.225310
1010,145.680458
1011,-21.558729
1012,-35.330687
1013,-55.854867
1014,-25.394689
1015,42.027631
1016,-15.524369
1017,-91.605639
1018,0.388116
1019,-1.738144
1020,-44.836188
1021,-1.978568
1022,-1.753588
1023,-13.751350
1024,-39.307566
1025,-10.449340
1026,-65.898968
1027,32.213501
1028,51.003709
1029,42.129039
1030,-60.339641
1031,26.134989
1032,41.934003
1033,-35.200249
1034,-75.121396
1035,7.165739
1036,13.700276
1037,29.956303
1038,-3.329927
1039,96.174365
1040,-41.310219
1041,51.779915
1042,19.300425
1043,7.924409
1044,-40.084929
1045,-2.287170
1046,7.945672
1047,-6.143992
1048,-14.137660
1049,-70.503419
1050,-4.982603
1051,-39.123336
1052,-62.793525
1053,-5.440001
1054,12.382732
1055,2.181436
1056,-165.686362
1057,-13.350714
1058,-67.650105
1059,107.840245
1060,36.941188
1061,-26.943021
1062,18.701034
1063,17.638924
1064,10.350997
1065,-1.418888
1066,59.141178
1067,-30.247303
1068,38.068707
1069,129.718527
1070,16.885676
1071,0.126614
1072,-14.143948
1073,157.226850
1074,-1.851082
1075,30.591141
1076,-29.727184
1077,63.393544
1078,-91.283702
1079,-24.558353
1080,-10.411232
1081,44.631728
1082,-16.034921
1083,-3.333531
1084,38.020655
1085,40.743651
1086,10.769050
1087,73.147418
1088,10.075009
1089,79.199662
1090,-68.658471
1091,1.179136
1092,-85.912061
1093,-50.972077
1094,-26.405020
1095,37.817626
1096,-0.016451
1097,-12.505039
1098,14.828462
1099,18.822542
1100,70.887376
1101,16.725674
1102,-31.858459
1103,12.784472
1104,-9.005896
1105,10.231303
1106,12.160123
1107,69.567715
1108,27.320356
1109,63.098934
1110,-34.270299
1111,-48.516588
1112,-17.064253
1113,-93.560372
1114,45.309825
1115,-66.762794
1116,71.764674
1117,-9.234420
1118,-31.881307
1119,0.951475
1120,-13.336142
1121,23.448122
1122,4.689056
1123,-14.061242
1124,14.303886
1125,188.814181
1126,-4.961349
1127,52.121527
1128,18.272233
1129,32.621858
1130,-14.680641
1131,-19.942675
1132,28.702227
1133,-47.808031
1134,-4.909939
1135,-32.202239
1136,-4.000488
1137,263.065336
1138,6.239488
1139,-39.782899
1140,57.956009
1141,40.020011
1142,-15.421304
1143,111.132796
1144,2.835732
1145,-13.875311
1146,-50.219316
1147,17.140354
1148,144.780548
1149,24.213164
1150,14.076123
1151,4.151048
1152,-9.978859
1153,56.753667
1154,7.555706
1155,-2.933895
1156,0.128934
1157,81.054153
1158,-17.057509
1159,1.808131
1160,-90.941019
1161,-55.601839
1162,-8.698585
1163,23.983711
1164,51.956450
1165,51.923354
1166,-12.838840
1167,55.915132
1168,3.594244
1169,-66.718734
1170,45.635727
1171,56.675361
1172,70.236238
1173,28.507975
1174,-97.870373
1175,9.005839
1176,-71.662964
1177,-48.192323
1178,136.262412
1179,103.120235
1180,-42.198247
1181,50.749359
1182,-24.616044
1183,59.174593
1184,26.133576
1185,109.008663
1186,8.780338
1187,-30.193217
